date,airline,airline_code,departure_airport,departure_state,departure_lat,departure_lon,arrival_airport,arrival_state,arrival_lat,arrival_lon,departure_schedule,departure_actual,departure_delay,arrival_schedule,arrival_actual,arrival_delay
2010-07-12,MQ,20398,ORD,IL,41.98,-87.9,RST,MN,43.9,-92.5,1120,1119,-1.0,1220,1216,-4.0
2009-08-02,MQ,20398,ORD,IL,41.98,-87.9,RST,MN,43.9,-92.5,1930,1931,1.0,2040,2029,-11.0
2009-08-09,MQ,20398,ORD,IL,41.98,-87.9,RST,MN,43.9,-92.5,1930,1953,23.0,2040,2053,13.0
2009-09-10,MQ,20398,ORD,IL,41.98,-87.9,RST,MN,43.9,-92.5,725,757,32.0,830,859,29.0
2009-08-06,MQ,20398,ORD,IL,41.98,-87.9,RST,MN,43.9,-92.5,1155,1153,-2.0,1305,1300,-5.0
2009-08-13,MQ,20398,ORD,IL,41.98,-87.9,RST,MN,43.9,-92.5,1155,1152,-3.0,1305,1254,-11.0
2010-07-30,MQ,20398,ORD,IL,41.98,-87.9,RST,MN,43.9,-92.5,1505,1505,0.0,1610,1614,4.0
2009-08-31,MQ,20398,ORD,IL,41.98,-87.9,RST,MN,43.9,-92.5,725,720,-5.0,830,816,-14.0
2009-09-07,MQ,20398,ORD,IL,41.98,-87.9,RST,MN,43.9,-92.5,1710,1708,-2.0,1820,1810,-10.0
2009-06-18,MQ,20398,ORD,IL,41.98,-87.9,RST,MN,43.9,-92.5,1930,2035,65.0,2040,2145,65.0
2009-12-17,MQ,20398,ORD,IL,41.98,-87.9,RST,MN,43.9,-92.5,740,735,-5.0,845,839,-6.0
2009-02-27,MQ,20398,ORD,IL,41.98,-87.9,RST,MN,43.9,-92.5,1710,1705,-5.0,1820,1832,12.0
2010-12-25,MQ,20398,ORD,IL,41.98,-87.9,RST,MN,43.9,-92.5,825,847,22.0,935,948,13.0
2009-02-21,MQ,20398,ORD,IL,41.98,-87.9,RST,MN,43.9,-92.5,2025,2022,-3.0,2135,2128,-7.0
2009-02-01,MQ,20398,ORD,IL,41.98,-87.9,RST,MN,43.9,-92.5,2025,2033,8.0,2135,2136,1.0
2010-02-28,MQ,20398,ORD,IL,41.98,-87.9,RST,MN,43.9,-92.5,1930,1943,13.0,2040,2058,18.0
2010-02-11,MQ,20398,ORD,IL,41.98,-87.9,RST,MN,43.9,-92.5,740,735,-5.0,850,844,-6.0
2010-02-19,MQ,20398,ORD,IL,41.98,-87.9,RST,MN,43.9,-92.5,1405,1358,-7.0,1510,1459,-11.0
2010-02-21,MQ,20398,ORD,IL,41.98,-87.9,RST,MN,43.9,-92.5,1120,1115,-5.0,1225,1217,-8.0
2009-04-12,MQ,20398,ORD,IL,41.98,-87.9,RST,MN,43.9,-92.5,1420,1417,-3.0,1525,1526,1.0
